End of Inspection,Plant,Region,Supplier,,Inspection Lot No.,Quantity (USG),"010A COLOR, SAYBOLT","010B COLOR,",100C TOTAL ACID NUMBER MG KOH/G,110A AROMATICS % VOL,130 MERCAPTAN SULFUR,140 DOCTOR TEST,150A SULFUR - OXYGEN BOMB %(M),150B TOTAL SULFUR %(M),150D SULFUR - X-RAY %(M),150E TOTAL SULFUR %(M),150F SULFUR - X-RAY FLUORESCENCE %(M),"150G SULFUR, TOTAL  %(M)","150IPA SULFUR, TOTAL",160A HYDROGEN CONTENT %(M),160B HYDROGEN CONTENT %(M),160E HYDROGEN CONTENT,020 APPEARANCE,200A TEST METHOD D86,200B TEST METHOD D2887,201 DIST TEMP:  INITIAL BOILING POINT,202 DIST TEMP:  10% EVAPORATED,203 DIST TEMP:  20% EVAPORATED,204 DIST TEMP:  50% EVAPORATED,206 DIST TEMP: 90% EVAPORATED,021 APPEARANCE,211 DIST TEMP: FINAL BOILING POINT,213 DIST TEMP: RESIDUE,214 DIST TEMP: LOSS,220A FLASH POINT,220B FLASH POINT,220C FLASH POINT,220IPA FLASH POINT,230A DENSITY @ 15蚓 KG/L,230B SPECIFIC GRAVITY @ 60/60蚌  KG/L,231B API GRAVITY - DIGITAL (API),300A FREEZING POINT,300C FREEZING POINT,300E FREEZING POINT,300F FREEZING POINT,310 VISCOSITY @ -54蚓 (MM2/S),231A API GRAVITY,400C NET HEAT OF COMBUSTION MJ/KG,400D NET HEAT OF COMBUSTION MJ/KG,400E NET HEAT OF COMBUSTION MJ/KG,420 SMOKE POINT MM,500 COPPER STRIP CORROSION (2 H @ 100蚓),600A THERMAL STABILITY @ 275C,600B THERMAL STABILITY @ 260C,601 CHANGE IN PRESSURE,"602 TUBE DEPOSIT RATING, VISUAL",602A ELLIPSOMETRIC TUBE RATING,710 EXISTENT GUM,710IPA EXISTENT GUM,720A PARTICULATE MATTER,720B PARTICULATE MATTER,723 PARTICULATE COUNTING  >= 4 然,723A PARTICULATE COUNTING  ISO >= 4 然,724 PARTICULATE COUNTING= 6 然,724A PARTICULATE COUNTING ISO = 6 然,726 PARTICULATE COUNTING  >= 14 然,726A PARTICULATE COUNTING  ISO>= 14 然,727 PARTICULATE COUNTING  >= 21 然,727A PARTICULATE COUNTING  ISO>= 21 然,728 PARTICULATE COUNTING  >= 25 然,728A PARTICULATE COUNTING  ISO>= 25 然,729 PARTICULATE COUNTING  >= 30 然,729A PARTICULATE COUNTING  ISO>= 30 然,730 FILTRATION TIME,750 WSIM,750A MICROSEPAROMETER RATING,750B MICROSEPAROMETER RATING,800 ANTI-OXIDANT,802 ANTIOXIDANT CONCENTRATION,801 ANTIOXIDANT ADDITIVE INJECTION POINT,821 SDA INJECTION POINT,830A FSII,831FSII INJECTION POINT,840 CORROSION INHIBITOR,841 CI INJECTION POINT,842 CORROSION INHIBITOR CONCENTRATION,910A CALCULATED CETANE INDEX,910B CALCULATED CETANE INDEX,BATCH NUMBER,CRUDE PROCESS TECH,PRODUCT,REPORT DATE,SAMPLE NUMBER,SHIPMENT NUMBER,TANK NUMBER,120 NAPHTHALENE,725IPA PARTICULATE COUNTING,725IPB PARTICULATE COUNTING,725IPC PARTICULATE COUNTING,740 WATER REACTION INTERFACE RATING,812 METAL DEACTIVATOR CONCENTRATION,811 METAL DEACTIVATOR INJECTION POINT,820 STATIC DISSIPATER,900 ELECTRICAL CONDUCTIVITY,990A FAME CONTENT,990B FAME CONTENT
1/9/2014,EOPS,OA Puget Sound,U.S. OIL TRADING LLC DBA,Rocky Mountain West JP4/JP8/JAB/JAA,10000023260,"31,092",19,,0.003,15.1,0.002,POSITIVE,,,,,0.07,,,13.88,,,PASS,,,145.9,164.2,169.8,192.6,242.5,1,269,1.4,1,,44.5,,,,0.801,45.1,,,-58.1,,3.8,,43.3,,,20.3,1A,,,1,<1,,1,,,0.13,,,,,,,,,,,,,3,,100,,17.6,,,,,,12,,,40.8,,14-J-003,ATMOSPHERIC,JP8,1/6/2014,729255,DLA0108,30002,1.28,,,,1B,,,,,,
1/9/2014,EOPS,OA Puget Sound,U.S. OIL TRADING LLC DBA,Rocky Mountain West JP4/JP8/JAB/JAA,10000023473,"10,387",-16,,-0.002,-16.3,-0.002,NEGATIVE,,,,,-0.1,,,-13.83,,,,,,-142.1,-162,-168.4,-193.3,-245.6,,-271.8,-1.4,-1.2,,-42.5,,,,,-44.9,,,56.8,,-3.7,,-43.28,,,-22.2,1A,,,0,<1,,-1,,-0.11,,,,,,,,,,,,,,-3,,-100,,-17.6,,,,,,-12,,,-40.8,,13-J-119,ATMOSPHERIC,JP8,10/10/2013,715270,,8502,-1.29,,,,1B,,,,,,
1/9/2014,EOPS,OA Puget Sound,U.S. OIL TRADING LLC DBA,Rocky Mountain West JP4/JP8/JAB/JAA,10000023479,"10,272",-20,,-0.003,-14.7,-0.002,POSITIVE,,,,,-0.09,,,-13.91,,,PASS,,,-142,-161.1,-168,-191.8,-243,1,-269.9,-1.2,-1,,-42.5,,,,-800,-45.2,,,57.3,,-3.6,,-43.31,,,-20.3,1A,,,-1,<1,,-1,,,-0.13,,,,,,,,,,,,,-3,,-100,,-17.6,,,,,,-12,,,-40.9,,13-J-131,ATMOSPHERIC,JP8,11/17/2013,721353,,30002,-1.71,,,,1B,,,,,,
1/9/2014,EOPS,OA Puget Sound,U.S. OIL TRADING LLC DBA,Rocky Mountain West JP4/JP8/JAB/JAA,10000023480,"10,081",-16,,-0.003,-16.1,-0.002,POSITIVE,,,,,-0.09,,,-13.83,,,,,,-145.7,-163.6,-170.1,-193.6,-243.8,,-273.2,-1.2,-0.2,,-42.5,,,,,-44.9,,,56.9,,-3.7,,-43.28,,,-20.3,1A,,,0,<1,,-1,,,-0.13,,,,,,,,,,,,,-3,,-64,,-17.6,,,,,,-12,,,-40.9,,13-J-125,ATMOSPHERIC,JP8,10/27/2013,717916,,30003,-1.39,,,,1B,,,,,,
1/9/2014,EOPS,OA Puget Sound,U.S. OIL TRADING LLC DBA,Rocky Mountain West JP4/JP8/JAB/JAA,10000023474,"19,999",,,-0.003,-15.1,-0.002,POS,,,,,-0.1,,,-13.86,,,PASS,,,-142.9,-162,-169.2,-192.7,-244.5,,-270.7,-1.4,-1,,-43.5,,,,,,,,56.6,,-3.7,-44.9,-43.29,,,-21.2,1A,,275,0,1,,-1,,,-0.32,,,,,,,,,,,,,-3,,-99,,-17.6,,,,,,-12,,,,,13-J-121,ATMOSPHERIC,JP8,10/13/2013,715690,,30003,-1.28,,,,1B,,,,,40.5,
1/9/2014,EOTS,"OA Tuscaloosa, AL",HUNT REFINING COMPANY,Inland East Gulf JP8 JP4 JAA,10000023053,"38,587",30,,0.006,16.4,0,,,,,,0.001,,,14.02,,,PASS,,,169,179,183,194,224,,245,1.1,0.7,52,,,,,0.7902,,,-56.1,,,3.676,47.6,43.392,,,26,1B,,,0,1,,0.8,,0.19,,,,,,,,,,,,,,4,97,,,,17.7,,,,,,,9.4,47.4,,,,JP8,,,,,0.07,,,,1B,,,,,,
1/9/2014,EOTS,"OA Tuscaloosa, AL",HUNT REFINING COMPANY,Inland East Gulf JP8 JP4 JAA,10000023261,"7,693",30,,0.006,17.5,0.0006,#,,,,,0,,,13.96,,,PASS,,,165,174,177,186,218,,242,1.1,0.6,48,,,,,0.7887,47.9,,-61.7,,,3.287,,43.357,,,26,1A,,,0,1,,0.2,,,0.24,,,,,,,,,,,,,4,100,,,,,,,,,,,9.4,44.4,,13-18,,JP8,12/9/2013,,DLA0106,94,0.05,,,,,,,,,,
1/9/2014,EOTS,"OA Tuscaloosa, AL",HUNT REFINING COMPANY,Inland East Gulf JP8 JP4 JAA,10000023403,"31,626",30,,0.006,16.4,0,,,,,,0.001,,,14.02,,,PASS,,,169,179,183,194,224,,245,1.1,0.7,52,,,,,0.7902,,,-56.1,,,3.676,47.6,43.392,,,26,1B,,,0,1,,0.8,,0.19,,,,,,,,,,,,,,4,97,,,,17.7,,,,,,,9.4,47.4,,,,JP8,,,,,0.07,,,,,,,,,,
1/9/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000023253,"151,656",18,,0.006,12.3,,NEG,,,,,0.0505,,,14.04,,,PASS,,,140.2,165.3,171.5,285.6,215.5,,238.1,1.4,0.6,,,38.9,,0.7937,,,,,-64.4,,3.2,46.7,43.3,,,26,1A,,,0,1,,0.6,,,0.581,,,,,,,,,,,,,5,83,,,,,,,0.14,S,,S,10.4,40.5,,14-63-8,,JP8,12/29/2013,,DLA0107,501,,,,,1B,,,,,,
1/9/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000023254,"45,070",16,,0.006,15.2,,NEG,,,,,0.0519,,,13.92,,,PASS,,,151.7,167.1,172.7,186,214.8,,241.7,0.7,0,,,38.9,,0.7941,,,,,-64,,3.38,46.6,43.3,,,26,1A,,,0,1,,1.6,,0.246,,,,,,,,,,,,,,5,99,,,,,,,0.14,S,,S,10.5,,,14-65-8,,JP8,1/11/2014,,,501,,,,,1B,,,,,,
